Personen;uuid
Sigrid Maurer;28d7cdde-e67b-40e8-ab6f-d481b8e5a364
Stefanie Reinsperger;e4601dd4-cf04-4727-8a00-1f8abd0f963f
Stefan Posch;fcc6fdf3-e1a1-4bae-8605-5e54073ffefe
Theresa May;8e9f7c08-3be0-4919-88a4-3f8b8e80d56a
Tobias Moretti;60e9109f-f549-4adf-9884-b3ca7ddb1ebd
Ulrike Lunacek;89a56460-a6f7-4ced-8e64-a70e59f746c7
Viktor Orban;cce65a0d-36ce-4aa9-9f19-f291c7253f78
Walter Meischberger;55262649-566c-4c0f-9e8f-4e3755f5fb55
Werner Faymann;08c05e39-8004-4784-965d-8b8760a7f355
Werner Kogler;3520eb75-76e3-41d0-ab05-3dddc0cfa579
Wilfried Haslauer;ba592c84-acc2-4b70-8bb7-02d88b11c9e0
Wladimir Putin;ec06a84d-e415-40bd-91b8-63bd42d04bd1
Wolfgang Brandstetter;76e5b479-78f2-43ab-a2b4-0f03e9aec31d
Wolfgang Katzian;84d9fa6c-6f4c-4eac-b3bf-35c2f2967d01
Wolfgang Sobotka;3b9d246e-3316-4fe5-a885-67e9d4817cb9
Andrae Rupprechter;
Franz Fischler;
Guenter Haiden;
Josef Proell;
Josef Riegler;
Karl Schleinzer;
Nikolaus Berlakovich;
Oskar Weihs;
